MonthCode,Year,V1,V2,V3,V4
560,1956,1956.4584,705.1,0,0
561,1956,1956.5416,704.2,0,0
562,1956,1956.625,699.2,0,0
563,1956,1956.7084,700.2,0,0
564,1956,1956.7916,707.2,0,0
565,1956,1956.875,694.2,0,0
566,1956,1956.9584,707.2,0,0
567,1957,1957.0416,703.2,0,0
568,1957,1957.125,709.2,0,0
569,1957,1957.2084,707.2,0,0
570,1957,1957.2916,698.2,0,0
571,1957,1957.375,709.2,0,0
572,1957,1957.4584,707.2,0,0
573,1957,1957.5416,707.2,0,0
574,1957,1957.625,705.2,0,0
575,1957,1957.7084,706.2,0,0
576,1957,1957.7916,707.2,0,0
577,1957,1957.875,703.2,0,0
578,1957,1957.9584,723.2,0,0
579,1958,1958.0416,723.2,0,0
580,1958,1958.125,734.2,0,0
581,1958,1958.2084,711.2,0,0
582,1958,1958.2916,709.2,0,0
583,1958,1958.375,703.2,0,0
584,1958,1958.4584,710.2,0,0
585,1958,1958.5416,707.2,0,0
586,1958,1958.625,706.2,0,0
587,1958,1958.7084,705.2,0,0
588,1958,1958.7916,707.2,0,0
589,1958,1958.875,709.2,0,0
590,1958,1958.9584,717.2,0,0
591,1959,1959.0416,721.2,0,0
592,1959,1959.125,718.2,0,0
593,1959,1959.2084,702.2,0,0
594,1959,1959.2916,697.2,0,0
595,1959,1959.375,699.2,0,0
596,1959,1959.4584,704.2,0,0
597,1959,1959.5416,702.2,0,0
598,1959,1959.625,702.2,0,0
599,1959,1959.7084,709.2,0,0
600,1959,1959.7916,704.2,0,0
601,1959,1959.875,701.2,0,0
602,1959,1959.9584,708.2,0,0
603,1960,1960.0416,712.2,0,0
604,1960,1960.125,710.2,0,0
605,1960,1960.2084,703.2,0,0
606,1960,1960.2916,705.2,0,0
607,1960,1960.375,704.2,0,0
608,1960,1960.4584,699.2,0,0
609,1960,1960.5416,701.2,0,0
610,1960,1960.625,701.2,0,0
611,1960,1960.7084,697.2,0,0
612,1960,1960.7916,703.2,0,0
613,1960,1960.875,712.2,0,0
614,1960,1960.9584,711.2,0,0
615,1961,1961.0416,721.2,0,0
616,1961,1961.125,722.2,0,0
617,1961,1961.2084,721.2,0,0
618,1961,1961.2916,696.2,0,0
619,1961,1961.375,702.2,0,0
620,1961,1961.4584,705.2,0,0
621,1961,1961.5416,703.2,0,0
622,1961,1961.625,704.2,0,0
623,1961,1961.7084,701.2,0,0
624,1961,1961.7916,699.2,0,0
625,1961,1961.875,700.2,0,0
626,1961,1961.9584,709.2,0,0
627,1962,1962.0416,699.2,0,0
628,1962,1962.125,711.2,0,0
629,1962,1962.2084,700.2,0,0
630,1962,1962.2916,695.2,0,0
631,1962,1962.375,696.2,0,0
632,1962,1962.4584,698.2,0,0
633,1962,1962.5416,699.2,0,0
634,1962,1962.625,704.2,0,0
635,1962,1962.7084,705.2,0,0
636,1962,1962.7916,712.2,0,0
637,1962,1962.875,717.2,0,0
638,1962,1962.9584,713.2,0,0
639,1963,1963.0416,696.2,0,0
640,1963,1963.125,715.2,0,0
641,1963,1963.2084,704.2,0,0
642,1963,1963.2916,712.2,0,0
643,1963,1963.375,705.2,0,0
644,1963,1963.4584,701.2,0,0
645,1963,1963.5416,707.2,0,0
646,1963,1963.625,704.2,0,0
647,1963,1963.7084,711.2,0,0
648,1963,1963.7916,718.2,0,0
649,1963,1963.875,,0,0
650,1963,1963.9584,715.2,0,0
651,1964,1964.0416,727.2,0,0
652,1964,1964.125,691.2,0,0
653,1964,1964.2084,703.2,0,0
654,1964,1964.2916,689.2,0,0
655,1964,1964.375,693.2,0,0
656,1964,1964.4584,703.2,0,0
657,1964,1964.5416,705.2,0,0
658,1964,1964.625,708.2,0,0
659,1964,1964.7084,703.2,0,0
660,1964,1964.7916,703.2,0,0
661,1964,1964.875,711.2,0,0
662,1964,1964.9584,722.2,0,0
663,1965,1965.0416,718.2,0,0
664,1965,1965.125,705.2,0,0
665,1965,1965.2084,698.2,0,0
666,1965,1965.2916,705.2,0,0
667,1965,1965.375,694.2,0,0
668,1965,1965.4584,702.2,0,0
669,1965,1965.5416,704.2,0,0
670,1965,1965.625,708.2,0,0
671,1965,1965.7084,704.2,0,0
672,1965,1965.7916,707.2,0,0
673,1965,1965.875,724.2,0,0
674,1965,1965.9584,723.2,0,0
675,1966,1966.0416,724.2,0,0
676,1966,1966.125,713.2,0,0
677,1966,1966.2084,710.2,0,0
678,1966,1966.2916,,0,0
679,1966,1966.375,,0,0
680,1966,1966.4584,,0,0
681,1966,1966.5416,703.2,0,0
682,1966,1966.625,703.2,0,0
683,1966,1966.7084,701.2,0,0
684,1966,1966.7916,701.2,0,0
685,1966,1966.875,713.2,0,0
686,1966,1966.9584,726.2,0,0
687,1967,1967.0416,719.2,0,0
688,1967,1967.125,706.2,0,0
689,1967,1967.2084,713.2,0,0
690,1967,1967.2916,705.2,0,0
691,1967,1967.375,697.2,0,0
692,1967,1967.4584,707.2,0,0
693,1967,1967.5416,705.2,0,0
694,1967,1967.625,706.2,0,0
695,1967,1967.7084,705.2,0,0
696,1967,1967.7916,711.2,0,0
697,1967,1967.875,706.2,0,0
698,1967,1967.9584,713.2,0,0
699,1968,1968.0416,719.2,0,0
700,1968,1968.125,719.2,0,0
701,1968,1968.2084,713.2,0,0
702,1968,1968.2916,693.2,0,0
703,1968,1968.375,703.2,0,0
704,1968,1968.4584,702.2,0,0
705,1968,1968.5416,708.2,0,0
706,1968,1968.625,712.2,0,0
707,1968,1968.7084,703.2,0,0
708,1968,1968.7916,713.2,0,0
709,1968,1968.875,719.2,0,0
710,1968,1968.9584,726.2,0,0
711,1969,1969.0416,726.2,0,0
712,1969,1969.125,721.2,0,0
713,1969,1969.2084,702.2,0,0
714,1969,1969.2916,712.2,0,0
715,1969,1969.375,706.2,0,0
716,1969,1969.4584,711.2,0,0
717,1969,1969.5416,705.2,0,0
718,1969,1969.625,704.2,0,0
719,1969,1969.7084,708.2,0,0
720,1969,1969.7916,708.2,0,0
721,1969,1969.875,709.2,0,0
722,1969,1969.9584,722.2,0,0
723,1970,1970.0416,718.2,0,0
724,1970,1970.125,708.2,0,0
725,1970,1970.2084,701.2,0,0
726,1970,1970.2916,694.2,0,0
727,1970,1970.375,694.2,0,0
728,1970,1970.4584,702.2,0,0
729,1970,1970.5416,702.2,0,0
730,1970,1970.625,701.2,0,0
731,1970,1970.7084,699.2,0,0
732,1970,1970.7916,706.2,0,0
733,1970,1970.875,713.2,0,0
734,1970,1970.9584,725.2,0,0
735,1971,1971.0416,708.2,0,0
736,1971,1971.125,703.2,0,0
737,1971,1971.2084,709.2,0,0
738,1971,1971.2916,705.2,0,0
739,1971,1971.375,702.2,0,0
740,1971,1971.4584,706.2,0,0
741,1971,1971.5416,708.2,0,0
742,1971,1971.625,707.2,0,0
743,1971,1971.7084,704.2,0,0
744,1971,1971.7916,703.2,0,0
745,1971,1971.875,709.2,0,0
746,1971,1971.9584,713.2,0,0
747,1972,1972.0416,709.2,0,0
748,1972,1972.125,716.2,0,0
749,1972,1972.2084,714.2,0,0
750,1972,1972.2916,710.2,0,0
751,1972,1972.375,702.2,0,0
752,1972,1972.4584,710.2,0,0
753,1972,1972.5416,,0,0
754,1972,1972.625,712.2,0,0
755,1972,1972.7084,710.2,0,0
756,1972,1972.7916,701.2,0,0
757,1972,1972.875,716.2,0,0
758,1972,1972.9584,721.2,0,0
759,1973,1973.0416,722.2,0,0
760,1973,1973.125,714.2,0,0
761,1973,1973.2084,709.2,0,0
762,1973,1973.2916,688.2,0,0
763,1973,1973.375,697.2,0,0
764,1973,1973.4584,703.2,0,0
765,1973,1973.5416,700.2,0,0
766,1973,1973.625,701.2,0,0
767,1973,1973.7084,699.2,0,0
768,1973,1973.7916,703.2,0,0
769,1973,1973.875,717.2,0,0
770,1973,1973.9584,724.2,0,0
771,1974,1974.0416,716.2,0,0
772,1974,1974.125,713.2,0,0
773,1974,1974.2084,721.2,0,0
774,1974,1974.2916,710.2,0,0
775,1974,1974.375,705.2,0,0
776,1974,1974.4584,710.2,0,0
777,1974,1974.5416,711.2,0,0
778,1974,1974.625,705.2,0,0
